file,base,total_verse_lines,with_expected_block_id,with_any_block_id,missing_block_id
ezekiel/ezekiel-35.md,ezekiel-35,15,15,15,0
ezekiel/ezekiel-15.md,ezekiel-15,8,8,8,0
ezekiel/ezekiel-44.md,ezekiel-44,31,31,31,0
ezekiel/ezekiel-21.md,ezekiel-21,37,37,37,0
ezekiel/ezekiel-31.md,ezekiel-31,18,18,18,0
ezekiel/ezekiel-05.md,ezekiel-05,17,17,17,0
matthew/matthew-19.md,matthew-19,30,29,30,0
matthew/matthew-09.md,matthew-09,37,37,37,0
matthew/matthew-28.md,matthew-28,20,20,20,0
matthew/matthew-18.md,matthew-18,34,34,34,0
matthew/matthew-08.md,matthew-08,33,33,33,0
matthew/matthew-27.md,matthew-27,66,66,66,0
matthew/matthew-13.md,matthew-13,58,58,58,0
matthew/matthew-03.md,matthew-03,17,17,17,0
matthew/matthew-17.md,matthew-17,26,26,26,0
matthew/matthew-23.md,matthew-23,38,38,38,0
matthew/matthew-07.md,matthew-07,28,28,28,0
matthew/matthew-16.md,matthew-16,27,27,27,0
matthew/matthew-22.md,matthew-22,46,46,46,0
matthew/matthew-06.md,matthew-06,34,34,34,0
matthew/matthew-26.md,matthew-26,75,75,75,0
matthew/matthew-12.md,matthew-12,50,50,50,0
matthew/matthew-02.md,matthew-02,23,23,23,0
matthew/matthew-15.md,matthew-15,39,39,39,0
matthew/matthew-21.md,matthew-21,46,46,46,0
matthew/matthew-05.md,matthew-05,48,48,48,0
matthew/matthew-25.md,matthew-25,44,44,44,0
matthew/matthew-11.md,matthew-11,30,30,30,0
matthew/matthew-01.md,matthew-01,25,25,25,0
matthew/matthew-24.md,matthew-24,51,51,51,0
matthew/matthew-10.md,matthew-10,41,41,41,0
matthew/matthew-14.md,matthew-14,36,36,36,0
matthew/matthew-20.md,matthew-20,34,34,34,0
matthew/matthew-04.md,matthew-04,25,25,25,0
wisdom/wisdom-18.md,wisdom-18,25,25,25,0
wisdom/wisdom-08.md,wisdom-08,21,21,21,0
wisdom/wisdom-19.md,wisdom-19,22,22,22,0
wisdom/wisdom-09.md,wisdom-09,18,18,18,0
wisdom/wisdom-12.md,wisdom-12,26,26,26,0
